Bug Number,Revealing Factor,Reveal Group,Sanitizer,Crash Type,Arch,Finding Date,Revealing Date,Merge Date,Guilty Date,D2 (days),D1 (days),D1 since Syzkaller,Total Delay,D1 Ratio,Hidden-on-Birth,Before Syzbot,Old/New,Location,Root Dir,,,,,
2,Guilty Merge,Guilty Commit,none,Info,amd64,7/15/2022,7/13/2022,7/13/2022,6/29/2022,2,0,0,2,0,0,After,New,net/mac80211,net,,,,,
3,Template,Template,none,Warning,amd64,10/7/2020,10/1/2020,10/10/2013,9/26/2013,6,2548,1167,1173,0.9949,1,Before,Old,net/mac80211,net,,,,,
4,Template,Template,Kmemleak,Memory Leak,amd64,3/19/2022,3/16/2022,6/13/2020,5/19/2020,3,641,641,644,0.9953,1,After,Old,kernel,kernel,,,,,
6,Template,Template,Kasan,Null-ptr-deref,amd64,3/16/2022,3/16/2022,6/13/2020,5/19/2020,0,641,641,641,1,1,After,Old,mm,mm,,,,,
7,Template,Template,Kmemleak,Memory Leak,amd64,3/16/2022,3/16/2022,6/13/2020,5/19/2020,0,641,641,641,1,1,After,Old,security/keys,security,,,,,
12,Merge Commit,Kernel Reveal,none,Warning,amd64,5/22/2020,3/30/2020,6/20/2009,6/19/2009,53,3936,982,1035,0.9488,1,Before,Old,drivers/video/fbdev,drivers,,,,,
16,Template,Template,none,GPF,amd64,10/10/2021,3/17/2020,9/7/2018,9/3/2018,572,557,557,1129,0.4934,1,After,Old,lib,lib,,,,,
18,Blocking Bug,Blocking Bug,none,Info,amd64,8/21/2022,8/11/2022,8/8/2022,7/1/2022,10,3,3,13,0.2308,1,After,New,drivers/tty,drivers,,,,,
19,Blocking Bug,Blocking Bug,none,Null-ptr-deref,amd64,8/21/2022,8/11/2022,8/8/2022,7/1/2022,10,3,3,13,0.2308,1,After,New,drivers/tty,drivers,,,,,
20,Blocking Bug,Blocking Bug,none,Warning,amd64,8/13/2022,8/11/2022,7/26/2022,7/26/2022,2,16,16,18,0.8889,1,After,New,net/tls,net,,,,,
21,Merge Commit,Kernel Reveal,none,Warning,amd64,1/6/2022,9/8/2019,,4/21/2012,851,2696,778,1629,0.4776,1,Before,Old,net/ipv4,net,,,,,
29,Guilty Merge,Guilty Commit,none,Task hung,amd64,8/22/2022,8/13/2022,8/13/2022,8/1/2022,9,0,0,9,0,0,After,New,drivers/scsi,drivers,,,,,
